Date,Total Cases,New Cases,Rolling 7 Day Average,Average per 100k,State Lab Tests,Send Out Lab Tests,Cumulative Tests,Positive Test Rate
2020-03-08,0,0,0.00,0.00,1,0,1,0.00%
2020-03-09,0,0,0.00,0.00,1,0,2,0.00%
2020-03-10,0,0,0.00,0.00,0,1,3,0.00%
2020-03-11,0,0,0.00,0.00,2,0,5,0.00%
2020-03-12,0,0,0.00,0.00,4,7,16,0.00%
2020-03-13,1,1,0.17,0.10,4,6,26,3.85%
2020-03-14,1,0,0.14,0.09,4,9,39,2.56%
2020-03-15,1,0,0.13,0.08,15,14,68,1.47%
2020-03-16,2,1,0.22,0.14,39,64,171,1.17%
2020-03-17,2,0,0.20,0.12,12,47,230,0.87%
2020-03-18,2,0,0.18,0.11,11,23,264,0.76%
2020-03-19,5,3,0.71,0.44,16,30,310,1.61%
2020-03-20,5,0,0.57,0.35,31,52,393,1.27%
2020-03-21,5,0,0.57,0.35,17,14,424,1.18%
2020-03-22,6,1,0.71,0.44,14,18,456,1.32%
2020-03-23,7,1,0.71,0.44,44,33,533,1.31%
2020-03-24,11,4,1.29,0.80,55,23,611,1.80%
2020-03-25,13,2,1.57,0.97,70,39,720,1.81%
2020-03-26,19,6,2.00,1.24,65,33,818,2.32%
2020-03-27,23,4,2.57,1.59,50,43,911,2.52%
2020-03-28,26,3,3.00,1.86,30,16,957,2.72%
2020-03-29,26,0,2.86,1.77,29,24,1010,2.57%
2020-03-30,29,3,3.14,1.95,51,67,1128,2.57%
2020-03-31,31,2,2.86,1.77,56,39,1223,2.53%
2020-04-01,35,4,3.14,1.95,42,29,1294,2.70%
2020-04-02,36,1,2.43,1.51,42,43,1379,2.61%
2020-04-03,38,2,2.14,1.33,48,26,1453,2.62%
2020-04-04,40,2,2.00,1.24,24,10,1487,2.69%
2020-04-05,40,0,2.00,1.24,28,11,1526,2.62%
2020-04-06,47,7,2.57,1.59,48,26,1600,2.94%
2020-04-07,49,2,2.57,1.59,43,34,1677,2.92%
2020-04-08,52,3,2.43,1.51,45,18,1740,2.99%
2020-04-09,56,4,2.86,1.77,35,18,1793,3.12%
2020-04-10,57,1,2.71,1.68,33,35,1861,3.06%
2020-04-11,58,1,2.57,1.59,25,8,1894,3.06%
2020-04-12,61,3,3.00,1.86,20,6,1920,3.18%
2020-04-13,63,2,2.29,1.42,30,18,1968,3.20%
2020-04-14,66,3,2.43,1.51,47,23,2038,3.24%
2020-04-15,67,1,2.14,1.33,34,20,2092,3.20%
2020-04-16,67,0,1.57,0.97,34,28,2154,3.11%
2020-04-17,70,3,1.86,1.15,44,16,2214,3.16%
2020-04-18,72,2,2.00,1.24,18,11,2243,3.21%
2020-04-19,72,0,1.57,0.97,25,8,2276,3.16%
2020-04-20,73,1,1.43,0.89,57,24,2357,3.10%
2020-04-21,74,1,1.14,0.71,38,20,2415,3.06%
2020-04-22,76,2,1.29,0.80,33,26,2474,3.07%
2020-04-23,77,1,1.43,0.89,18,28,2520,3.06%
2020-04-24,77,0,1.00,0.62,20,34,2574,2.99%
2020-04-25,79,2,1.00,0.62,38,12,2624,3.01%
2020-04-26,79,0,1.00,0.62,18,7,2649,2.98%
2020-04-27,80,1,1.00,0.62,56,98,2803,2.85%
2020-04-28,80,0,0.86,0.53,36,104,2943,2.72%
2020-04-29,80,0,0.57,0.35,32,78,3053,2.62%
2020-04-30,82,2,0.71,0.44,44,70,3167,2.59%
2020-05-01,82,0,0.71,0.44,33,109,3309,2.48%
2020-05-02,82,0,0.43,0.27,20,36,3365,2.44%
2020-05-03,83,1,0.57,0.35,14,15,3394,2.45%
2020-05-04,83,0,0.43,0.27,49,79,3522,2.36%
2020-05-05,83,0,0.43,0.27,31,82,3635,2.28%
2020-05-06,83,0,0.43,0.27,23,77,3735,2.22%
2020-05-07,82,-1,0.00,0.00,35,80,3850,2.13%
2020-05-08,82,0,0.00,0.00,31,49,3930,2.09%
2020-05-09,82,0,0.00,0.00,16,13,3959,2.07%
2020-05-10,82,0,-0.14,-0.09,8,18,3985,2.06%
